,lat,lon,pttid,time
205,25.3292,138.961,300234063948880,2018-09-28 14:00:00
206,25.3321,138.954,300234063948880,2018-09-28 15:00:00
207,25.3422,138.947,300234063948880,2018-09-28 16:00:00
208,25.353,138.935,300234063948880,2018-09-28 17:00:00
209,25.3681,138.925,300234063948880,2018-09-28 18:02:00
210,25.3786,138.917,300234063948880,2018-09-28 19:00:00
211,25.3924,138.908,300234063948880,2018-09-28 20:00:00
212,25.4031,138.893,300234063948880,2018-09-28 21:00:00
213,25.4132,138.88,300234063948880,2018-09-28 22:00:00
214,25.4259,138.869,300234063948880,2018-09-28 23:00:00
215,25.4429,138.86,300234063948880,2018-09-29 00:00:00
216,25.458,138.859,300234063948880,2018-09-29 01:02:00
217,25.4693,138.859,300234063948880,2018-09-29 02:00:00
218,25.4801,138.859,300234063948880,2018-09-29 03:00:00
219,25.4906,138.859,300234063948880,2018-09-29 04:00:00
220,25.4976,138.855,300234063948880,2018-09-29 05:01:00
221,25.5055,138.848,300234063948880,2018-09-29 06:00:00
222,25.5141,138.84,300234063948880,2018-09-29 07:00:00
223,25.5241,138.834,300234063948880,2018-09-29 08:00:00
224,25.5349,138.831,300234063948880,2018-09-29 09:00:00
225,25.5461,138.825,300234063948880,2018-09-29 10:00:00
226,25.558,138.815,300234063948880,2018-09-29 11:00:00
227,25.5712,138.808,300234063948880,2018-09-29 12:01:00
228,25.5807,138.803,300234063948880,2018-09-29 13:00:00
229,25.5855,138.798,300234063948880,2018-09-29 14:00:00
230,25.5936,138.794,300234063948880,2018-09-29 15:01:00
231,25.6006,138.79,300234063948880,2018-09-29 16:02:00
232,25.6042,138.782,300234063948880,2018-09-29 17:00:00
233,25.6096,138.772,300234063948880,2018-09-29 18:00:00
234,25.6141,138.76,300234063948880,2018-09-29 19:00:00
235,25.6201,138.751,300234063948880,2018-09-29 20:00:00
236,25.6274,138.743,300234063948880,2018-09-29 21:00:00
237,25.6326,138.733,300234063948880,2018-09-29 22:00:00
238,25.6382,138.72,300234063948880,2018-09-29 23:00:00
239,25.6499,138.707,300234063948880,2018-09-30 00:03:00
240,25.6624,138.691,300234063948880,2018-09-30 01:00:00
241,25.6752,138.67,300234063948880,2018-09-30 02:03:00
242,25.689,138.653,300234063948880,2018-09-30 03:00:00
243,25.7054,138.642,300234063948880,2018-09-30 04:01:00
244,25.7213,138.639,300234063948880,2018-09-30 05:03:00
245,25.7352,138.635,300234063948880,2018-09-30 06:02:00
246,25.7498,138.631,300234063948880,2018-09-30 07:00:00
247,25.7626,138.631,300234063948880,2018-09-30 08:00:00
248,25.7755,138.63,300234063948880,2018-09-30 09:02:00
249,25.7845,138.634,300234063948880,2018-09-30 10:00:00
250,25.7877,138.632,300234063948880,2018-09-30 11:00:00
251,25.7865,138.629,300234063948880,2018-09-30 12:01:00
252,25.7809,138.624,300234063948880,2018-09-30 13:00:00
253,25.7728,138.611,300234063948880,2018-09-30 14:02:00
254,25.768,138.6,300234063948880,2018-09-30 15:00:00
255,25.7648,138.582,300234063948880,2018-09-30 16:03:00
256,25.7652,138.57,300234063948880,2018-09-30 17:00:00
